"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1266,0.0724390250128499,0.0836986749996716,0.0859687701878176,0.0763217441409477,0.0567990067530277,0.0545156516688886,0.0724482319039556,0.202417169801138,0.114805707953445,0.292127500282924
"ehs-full","abc","FALSE",1266,0.0724390250128499,0.0696999201856582,0.066261999441785,0.0547024525688418,0.0567990067530277,0.0568940101110742,0.0679541013719356,0.202417169801138,0.244157915939773,0.420824766786643
"ehs-full","abc","TRUE",348,0.142709759188846,0.163445762310904,0.162002827781545,0.154926715757373,0.0915193310191637,0.0951678535546261,0.0755219012420219,0.119830082928766,0.0887019194945596,0.0402266078579902
"ehsmixed_center","abc","FALSE",767,0.12300050487092,0.113909414252303,0.116888898648572,0.166064442858154,0.0733166631231114,0.070704723890477,0.0711999310616127,0.0938217703964011,0.0982906006700228,0.0196813385234953
"ehsmixed_center","abc","FALSE",767,0.12300050487092,0.11206719071614,0.110442748878969,0.126045355812659,0.0733166631231114,0.0742599174164583,0.0737625225453574,0.0938217703964011,0.136949908682411,0.0874881100405564
"ehsmixed_center","abc","TRUE",245,0.22690996530225,0.258421837332881,0.255407944131479,0.269945590182303,0.101160477791405,0.109084527217901,0.101926258128267,0.0257942025166221,0.0192127833022463,0.00808641759248101
"ehscenter","abc","FALSE",375,0.184036294371582,0.182221189288516,0.186444581594593,0.338339417087123,0.100167808288208,0.0990198314141849,0.117364090187702,0.0669639369315227,0.0597137281949186,0.00394133966509173
"ehscenter","abc","FALSE",375,0.184036294371582,0.190624556872958,0.177256508229044,0.22390361708153,0.100167808288208,0.104520181343298,0.107775826275306,0.0669639369315227,0.0899034918992504,0.0377560015761743
"ehscenter","abc","TRUE",110,0.478164854941002,0.513280420293088,0.516185956530129,0.513325571082562,0.141370085475761,0.147432577532327,0.126516113385459,0.00100177018422577,0.00046322687011645,4.96235763154148e-05
"abc","abc","FALSE",103,0.972460534716981,1.00484873258158,1.00730683631546,1.00481277201319,0.18055647982304,0.18173579184464,0.163953901237771,4.71566498481054e-07,2.9784418847809e-08,8.86390757368246e-10
"abc","abc","FALSE",103,0.972460534716981,0.99904614383276,0.997969902256986,0.999013005235043,0.18055647982304,0.186345179351327,0.179892726661174,4.71566498481054e-07,8.53244667308212e-08,2.80195055559203e-08
"abc","abc","TRUE",98,0.931758239166668,0.949588775725689,0.951238177027899,0.949576147003787,0.181592598815628,0.19288829929779,0.157939265932956,1.50032938128263e-06,8.15799295095315e-07,1.82924443453634e-09
